name,location,slug,website,description,safety_score,inclusivity_score,support_score,living_score,equality_score,ranking_score
University of Oxford,Oxford,university-of-oxford,https://www.ox.ac.uk,The oldest university in the English-speaking world.,4.5,4.8,4.7,4.3,4.9,4.64
Harvard University,Cambridge,harvard-university,https://www.harvard.edu,A private Ivy League research university in Cambridge, Massachusetts.,4.2,4.5,4.6,4.0,4.7,4.4
University of Cambridge,Cambridge,university-of-cambridge,https://www.cam.ac.uk,A collegiate research university in Cambridge, United Kingdom.,4.6,4.7,4.8,4.4,4.6,4.62
Stanford University,Stanford,stanford-university,https://www.stanford.edu,A private research university in Stanford, California.,4.1,4.4,4.5,4.1,4.6,4.34
MIT,Cambridge,mit,https://www.mit.edu,A private land-grant research university in Cambridge, Massachusetts.,4.3,4.6,4.7,4.2,4.8,4.52
University of California, Berkeley,Berkeley,university-of-california-berkeley,https://www.berkeley.edu,A public research university in Berkeley, California.,3.9,4.2,4.1,3.8,4.3,4.06
Imperial College London,London,imperial-college-london,https://www.imperial.ac.uk,A public research university in London, England.,4.4,4.6,4.5,4.3,4.7,4.5
Columbia University,New York,columbia-university,https://www.columbia.edu,A private Ivy League research university in New York City.,4.0,4.3,4.4,3.9,4.5,4.22
UCL,London,ucl,https://www.ucl.ac.uk,A public research university in London, England.,4.5,4.6,4.7,4.3,4.8,4.58
ETH Zurich,Zurich,eth-zurich,https://www.ethz.ch,A public research university in Zurich, Switzerland.,4.8,4.9,4.7,4.6,4.9,4.78
University of Toronto,Toronto,university-of-toronto,https://www.utoronto.ca,A public research university in Toronto, Ontario, Canada.,4.5,4.7,4.6,4.4,4.8,4.6
Tsinghua University,Beijing,tsinghua-university,https://www.tsinghua.edu.cn,A major public research university in Beijing, China.,4.0,4.1,4.3,3.9,4.2,4.1
Peking University,Beijing,peking-university,https://www.pku.edu.cn,A major public research university in Beijing, China.,4.1,4.2,4.4,4.0,4.3,4.2
National University of Singapore,Singapore,national-university-of-singapore,https://www.nus.edu.sg,A national research university in Singapore.,4.7,4.8,4.6,4.5,4.9,4.7
University of Melbourne,Melbourne,university-of-melbourne,https://www.unimelb.edu.au,A public research university in Melbourne, Australia.,4.3,4.5,4.4,4.2,4.6,4.4
University of Sydney,Sydney,university-of-sydney,https://www.sydney.edu.au,A public research university in Sydney, Australia.,4.2,4.4,4.3,4.1,4.5,4.3
University of Edinburgh,Edinburgh,university-of-edinburgh,https://www.ed.ac.uk,A public research university in Edinburgh, Scotland.,4.6,4.7,4.5,4.4,4.6,4.56
University of Tokyo,Tokyo,university-of-tokyo,https://www.u-tokyo.ac.jp,A public research university in Bunkyō, Tokyo, Japan.,4.1,4.2,4.3,4.0,4.2,4.16
Kyoto University,Kyoto,kyoto-university,https://www.kyoto-u.ac.jp,A public research university in Kyoto, Japan.,4.0,4.1,4.2,3.9,4.1,4.06
McGill University,Montreal,mcgill-university,https://www.mcgill.ca,A public research university in Montreal, Quebec, Canada.,4.4,4.5,4.4,4.2,4.5,4.4
King's College London,London,kings-college-london,https://www.kcl.ac.uk,A public research university in London, England.,4.3,4.5,4.6,4.2,4.6,4.44
New York University,New York,new-york-university,https://www.nyu.edu,A private research university in New York City.,3.8,4.1,4.2,3.7,4.3,4.02
University of Copenhagen,Copenhagen,university-of-copenhagen,https://www.ku.dk,A public research university in Copenhagen, Denmark.,4.8,4.9,4.8,4.7,4.9,4.82
University of Oslo,Oslo,university-of-oslo,https://www.uio.no,A public research university in Oslo, Norway.,4.7,4.8,4.7,4.6,4.8,4.72
Lund University,Lund,lund-university,https://www.lu.se,A public research university in Lund, Sweden.,4.6,4.7,4.6,4.5,4.7,4.62
University of Helsinki,Helsinki,university-of-helsinki,https://www.helsinki.fi,A public research university in Helsinki, Finland.,4.5,4.6,4.5,4.4,4.6,4.52
University of Amsterdam,Amsterdam,university-of-amsterdam,https://www.uva.nl,A public research university in Amsterdam, Netherlands.,4.4,4.5,4.4,4.3,4.5,4.42
Technical University of Munich,Munich,technical-university-of-munich,https://www.tum.de,A public research university in Munich, Germany.,4.6,4.7,4.5,4.5,4.6,4.58
Lomonosov Moscow State University,Moscow,lomonosov-moscow-state-university,https://www.msu.ru,A public research university in Moscow, Russia.,3.5,3.8,3.9,3.4,3.9,3.7
University of Buenos Aires,Buenos Aires,university-of-buenos-aires,https://www.uba.ar,A public research university in Buenos Aires, Argentina.,3.7,3.9,3.8,3.6,3.9,3.78
National Autonomous University of Mexico,Mexico City,national-autonomous-university-of-mexico,https://www.unam.mx,A public research university in Mexico City, Mexico.,3.8,4.0,4.1,3.7,4.1,3.94
University of Cape Town,Cape Town,university-of-cape-town,https://www.uct.ac.za,A public research university in Cape Town, South Africa.,4.0,4.2,4.1,3.8,4.3,4.08
University of the Witwatersrand,Johannesburg,university-of-the-witwatersrand,https://www.wits.ac.za,A public research university in Johannesburg, South Africa.,3.9,4.1,4.0,3.7,4.2,3.98
University of Cairo,Cairo,university-of-cairo,https://www.cu.edu.eg,A public research university in Giza, Egypt.,3.6,3.8,3.7,3.5,3.9,3.7
University of São Paulo,São Paulo,university-of-sao-paulo,https://www.usp.br,A public research university in São Paulo, Brazil.,3.8,4.0,4.1,3.7,4.0,3.92
Indian Institute of Science,Bangalore,indian-institute-of-science,https://www.iisc.ac.in,A public university in Bangalore, India.,4.2,4.3,4.4,4.1,4.5,4.3
University of Mumbai,Mumbai,university-of-mumbai,https://www.mu.ac.in,A public state university in Mumbai, India.,3.5,3.7,3.6,3.4,3.8,3.6
Seoul National University,Seoul,seoul-national-university,https://www.snu.ac.kr,A national research university in Seoul, South Korea.,4.4,4.5,4.6,4.3,4.7,4.5
KAIST,Daejeon,kaist,https://www.kaist.ac.kr,A public research university in Daejeon, South Korea.,4.5,4.6,4.7,4.4,4.8,4.6
Kyung Hee University,Seoul,kyung-hee-university,https://www.khu.ac.kr,A private university in Seoul, South Korea.,4.1,4.3,4.4,4.0,4.4,4.24
University of Hong Kong,Hong Kong,university-of-hong-kong,https://www.hku.hk,A public research university in Hong Kong.,4.3,4.5,4.4,4.2,4.6,4.4
Nanyang Technological University,Singapore,nanyang-technological-university,https://www.ntu.edu.sg,A public research university in Singapore.,4.6,4.7,4.6,4.5,4.8,4.64
University of the Philippines,Quezon City,university-of-the-philippines,https://www.up.edu.ph,A public university system in the Philippines.,3.8,4.0,3.9,3.6,4.1,3.88
Chulalongkorn University,Bangkok,chulalongkorn-university,https://www.chula.ac.th,A public and autonomous research university in Bangkok, Thailand.,4.0,4.2,4.1,3.9,4.2,4.08
King Saud University,Riyadh,king-saud-university,https://www.ksu.edu.sa,A public university in Riyadh, Saudi Arabia.,4.1,4.3,4.2,4.0,4.4,4.2
University of Stellenbosch,Stellenbosch,university-of-stellenbosch,https://www.sun.ac.za,A public research university in Stellenbosch, South Africa.,4.0,4.2,4.1,3.8,4.3,4.08
University of Ghana,Accra,university-of-ghana,https://www.ug.edu.gh,A public university located in Accra, Ghana.,3.7,3.9,3.8,3.6,4.0,3.8
Makerere University,Kampala,makerere-university,https://www.mak.ac.ug,A public research university in Kampala, Uganda.,3.5,3.7,3.6,3.4,3.8,3.6
American University of Beirut,Beirut,american-university-of-beirut,https://www.aub.edu.lb,A private university in Beirut, Lebanon.,4.2,4.4,4.3,4.1,4.5,4.3
University of Buenos Aires,Buenos Aires,university-of-buenos-aires,https://www.uba.ar,A public research university in Buenos Aires, Argentina.,3.7,3.9,3.8,3.6,3.9,3.78
University of Chile,Santiago,university-of-chile,https://www.uchile.cl,A public research university in Santiago, Chile.,3.9,4.1,4.0,3.7,4.2,3.98
University of Tehran,Tehran,university-of-tehran,https://www.ut.ac.ir,A public research university in Tehran, Iran.,3.5,3.7,3.6,3.4,3.8,3.6
University of Warsaw,Warsaw,university-of-warsaw,https://www.uw.edu.pl,A public university in Warsaw, Poland.,4.1,4.3,4.2,4.0,4.3,4.18
University of Helsinki,Helsinki,university-of-helsinki,https://www.helsinki.fi,A public research university in Helsinki, Finland.,4.5,4.6,4.5,4.4,4.6,4.52
University of Bologna,Bologna,university-of-bologna,https://www.unibo.it,The oldest university in the Western world, in Bologna, Italy.,4.3,4.5,4.4,4.2,4.6,4.4
Karolinska Institute,Stockholm,karolinska-institute,https://www.ki.se,A research-led medical university in Solna, Sweden.,4.7,4.8,4.7,4.6,4.8,4.72
